Trial,RAI_XING,RAI_Static,RAI_Role,GRE_XING,CRL_XING,XING_Quality,XING_Cost,XING_Latency,XING_Energy,Static_Failures,Role_Failures,Constraints_Active,Recoveries,Affected
14,8.338474129798122,0.25348142923521816,0.47309841322566987,0.7690720611293378,0.024109667032370184,10.473360964487265,0.13683597801788266,1.0708355894088726,0.4835690990100593,0,1,False,8,9
15,10.348182334897995,0.26682463134574586,0.48995872588925093,0.6115616234285776,0.0017134237749947454,16.40191879864369,0.1681970021723321,1.3514581368563432,0.6534967320102422,0,0,False,2,3
16,8.205035535641388,0.2257836075399612,0.44170975904752224,0.5083366874045039,0.02516513176764894,13.044867351533593,0.15981517669066164,1.3711120578202474,0.5893392999821909,1,1,False,5,8
17,9.128213045745515,0.2348884732179659,0.5435665472268031,0.6125377074965305,0.0615852560182378,13.72847371299475,0.16975735681001025,1.2713215105929752,0.6288183598937552,1,1,False,5,7
18,7.387394176137845,0.21913655944933877,0.6580912649543854,0.5001753738167826,0.026497637208113437,12.111018553001626,0.15074365610611157,1.4299085990612468,0.587646033673664,1,0,False,5,8
19,7.845766444331068,0.2275015393128847,0.35915164312576986,0.6868704393806021,0.08078182360168813,7.827517931776212,0.09718887189147521,0.8666316164152632,0.3385360603645456,1,2,False,12,14
20,2.9986940688685633,0.18814328083468948,0.4829386147970232,0.6776208263891842,0.20950625835598835,1.67519991859883,0.02095968193887852,0.5281834740903391,0.095,2,1,False,18,20
21,10.356266928213923,0.296558283845309,0.4961634150499201,0.6527165566851784,0.00940496631003293,13.591135844290665,0.12657959906356536,1.1355733879280026,0.5020560114639138,0,2,False,7,9
22,8.113246283545148,0.2424592127162649,0.4515618400350756,0.6957340362641072,0.10742676011603301,9.301628948201472,0.10540913773718318,1.0000740815792155,0.409911539645577,0,2,False,9,11
23,8.397945972061269,0.20237600769626807,0.7600546003105153,0.7586665699814901,0.057155248999694507,7.613619673655296,0.08772007676787472,0.7862819629054796,0.326029443292446,1,3,False,12,13
24,7.0847784569278485,0.18162600971190193,0.36411310004889724,0.7644530885230755,0.0544149298713905,6.852564460452467,0.09546958000708573,0.8394732292953686,0.32280725224823487,1,1,False,12,13
25,8.436490648061408,0.22057690446713088,0.43525558364978834,0.7632216521602231,0.0386618977890939,9.08094116382424,0.12062195029938258,0.9146542599421955,0.41112248259341444,0,1,False,10,11
